date_of_report,date_of_reports,ref,deceased_name,deceased_names,coroner_name,coroner_area,category,this_report_is_being_sent_to,these_report_are_being_sent_to,url
17 April 2019,,2019-0128,June Russell,,Heidi Connor,Berkshire,Road (Highways Safety) related deaths,Slough Borough Council,,https://www.judiciary.uk/prevention-of-future-death-reports/june-russell/
17 April 2019,,2019-0129A,Brian Goodman,,Sarah Bourke,London Inner (North),Community health care,One Hosing Group,,https://www.judiciary.uk/prevention-of-future-death-reports/brian-goodman/
25 April 2019,,2019-0134,Michael Davies,,Jonathan Layton,Camarthenshire and Pembrokeshire,Emergency services related deaths (2019 onwards); Wales prevention of future deaths reports (2019 onwards),Welsh Ambulance Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/michael-davies/
18 April 2019,,2019-0131A,Graham Jones,,Katy Skerrett,Gloucestershire,Hospital Death (Clinical Procedures and medical management) related deaths,Gloucestershire Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/graham-jones/
16 April 2019,,2019-0132A,Jonathan Yates,,Katy Skerrett,Gloucestershire,Hospital Death (Clinical Procedures and medical management) related deaths,Gloucestershire Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/jonathan-yates/
24 April 2019,,2019-0133,Deborah Hopkinson,,Matthew Cox,Manchester (North),Hospital Death (Clinical Procedures and medical management) related deaths,Pennine Acute Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/deborah-hopkinson/
2 April 2019,,2019-0139,Elsa Reid,,Zafar Siddique,Black Country,Hospital Death (Clinical Procedures and medical management) related deaths,New Cross Hospital NHS Trust; Wolverhampton City Council,,https://www.judiciary.uk/prevention-of-future-death-reports/elsa-reid/
24 April 2019,,2019-0135A,Ioannis Avgousti,,Veronica Hamilton-Deeley,Brighton and Hove,Hospital Death (Clinical Procedures and medical management) related deaths,Brighton and Sussex University Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/ioannis-avgousti/
29 April 2019,,2019-0002,Steffan Kuenzel,,Sarah Bourke,London Inner (North),Hospital Death (Clinical Procedures and medical management) related deaths,Barts Health NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/steffan-kuenzel/
25 April 2019,,2019-0127,Mildred Clark,,Sonia Hayes,Kent (North-East),Emergency services related deaths (2019 onwards); Hospital Death (Clinical Procedures and medical management) related deaths,South East Coast Ambulance Service; East Kent University Hospitals; NHS England,,https://www.judiciary.uk/prevention-of-future-death-reports/mildred-clark/
23 April 2019,,2019-0137,Kerry Hunter,,Nigel Parsley,Suffolk,Hospital Death (Clinical Procedures and medical management) related deaths,Norfolk & Suffolk NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/kerry-hunter/
12 April 2019,,2019-0133A,Emma Butler,,Crispin Butler,Buckinghamshire,Hospital Death (Clinical Procedures and medical management) related deaths,Oxford Health NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/emma-butler/
15 April 2019,,2019-0134A,Nyall Brown,,Jacqueline Lake,Norfolk,Mental Health related deaths; Hospital Death (Clinical Procedures and medical management) related deaths,Norfolk & Suffolk NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/nyall-brown/
12 April 2019,,2019-0135,Duncan Tomlin,,Elisabeth Bussey-Jones,West Sussex,"Alcohol, drug and medication related deaths; Police related deaths",Sussex Police; Association of Police Officers; College of Policing,,https://www.judiciary.uk/prevention-of-future-death-reports/duncan-tomlin/
17 April 2019,,2019-0128A,Patrick Kelly,,Abigail Combes,South Yorkshire (West),Care Home Health related deaths,Roseberry Care Centres,,https://www.judiciary.uk/prevention-of-future-death-reports/patrick-kelly/
4 April 2019,,2019-0136,Lesley Armstrong,,Tony Brown,North Northumberland,Police related deaths,Northumbria Police,,https://www.judiciary.uk/prevention-of-future-death-reports/lesley-armstrong/
15 April 2019,,2019-0003,Jennifer Lewis,,Roger Hatch,Kent (North-West),Hospital Death (Clinical Procedures and medical management) related deaths,Oxleas NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/jennifer-lewis/
15 April 2019,,2019-0009,Shaun Neal,,Jame Thompson,County Durham and Darlington,Road (Highways Safety) related deaths,Durham County Council,,https://www.judiciary.uk/prevention-of-future-death-reports/shaun-neal/
26 April 2019,,2019-0138,William Hignett,,Alan Moore,Cheshire,Road (Highways Safety) related deaths,Cheshire West and Chester Council,,https://www.judiciary.uk/prevention-of-future-death-reports/william-hignett/
29 April 2019,,2019-0140,Georgia Nelson,,Fiona Wilcox,London Inner (West),Railway related deaths; Mental Health related deaths,Royal Borough of Kensington and Chelsea; Central and North West London NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/georgia-nelson/
30 April 2019,,2019-0142,Mark Hinton,,John Ellery,"Shropshire, Telford & Wrekin",Hospital Death (Clinical Procedures and medical management) related deaths,Shrewsbury and Telford NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/mark-hinton/
10 April 2019,,2019-0124,Christopher Innes,,Bina Patel,Kent (Central and South East),Road (Highways Safety) related deaths,Kent County Council,,https://www.judiciary.uk/prevention-of-future-death-reports/christopher-innes/
29 April 2019,,2019-0141,Alfonso Sinclair,,Fiona Wilcox,London Inner (West),"Alcohol, drug and medication related deaths; Railway related deaths",Transport for London,,https://www.judiciary.uk/prevention-of-future-death-reports/alfonso-sinclair/
22 March 2019,,2019-0098,Mark Kubiak,,Tom Osborne,Milton Keynes,Hospital Death (Clinical Procedures and medical management) related deaths,Thames Valley and Wessex Operational Delivery Networks,,https://www.judiciary.uk/prevention-of-future-death-reports/mark-kubiak/
18 March 2019,,2019-0097,Frederick Brooker,,Nadia Persaud,London (East),Care Home Health related deaths,HC-One,,https://www.judiciary.uk/prevention-of-future-death-reports/frederick-brooker/
21 February 2019,,2019-0095,Terrence Smith,,Richard Travers,Surrey,Emergency services related deaths (2019 onwards); Hospital Death (Clinical Procedures and medical management) related deaths,South East Coast Ambulance Service Service; NHS England; Joint Royal Colleges Ambulance Liaison Committee; Mitie Care & Custody; Teesside University Hospitals; Surrey Police; College of Policing,,https://www.judiciary.uk/prevention-of-future-death-reports/terrence-smith/
20 March 2019,,2019-0096,Pamela Sunter,,Christopher Dorries,South Yorkshire (West),Hospital Death (Clinical Procedures and medical management) related deaths,Cancer Alliance,,https://www.judiciary.uk/prevention-of-future-death-reports/pamela-sunter/
19 March 2019,,2019-0093,Mohammed Ahmed,,Jacqueline Devonish,Suffolk,Hospital Death (Clinical Procedures and medical management) related deaths,NHS England; Department of Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/mohammed-ahmed-2/
19 March 2019,,2019-0092,Graham Tailby,,John Hobson,Manchester (City),Hospital Death (Clinical Procedures and medical management) related deaths,Pennine Acute Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/graham-tailby/
12 March 2019,,2019-0091,Marjorie Gartside,,Catherine McKenna,Manchester (North),Hospital Death (Clinical Procedures and medical management) related deaths,Pennine Acute Hospital NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/marjorie-gartside/
18 March 2019,,2019-0090A,Ellie Long,,Jacqueline Lake,Norfolk,Child Death (from 2015); Hospital Death (Clinical Procedures and medical management) related deaths,Norfolk & Suffolk NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/ellie-long/
19 March 2019,,2019-0094,Mark Parry,,Heath Westerman,Cheshire,Accident at Work and Health and Safety related deaths,HSE,,https://www.judiciary.uk/prevention-of-future-death-reports/mark-parry/
14 March 2019,,2019-0089,Katharine Dowling,,Alan Moore,Cheshire,Hospital Death (Clinical Procedures and medical management) related deaths,NHS England,,https://www.judiciary.uk/prevention-of-future-death-reports/katharine-dowling/
13 March 2019,,2019-0088,Tamsin Grundy,,Jacqueline Lake,Norfolk,Hospital Death (Clinical Procedures and medical management) related deaths,Norfolk & Suffolk NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/tamsin-grundy/
11 March 2019,,2019-0087,David Mobsby,,Veronica Hamilton-Deeley,Brighton and Hove,Accident at Work and Health and Safety related deaths,Blatchington Mill School; Brighton and Hove City Council,,https://www.judiciary.uk/prevention-of-future-death-reports/david-mobsby/
25 March 2019,,2019-0090,Nora Bruton,,Adam Hodson,Birmingham and Solihull,"Alcohol, drug and medication related deaths; Mental Health related deaths; Hospital Death (Clinical Procedures and medical management) related deaths",Birmingham & Solihull Mental Heath NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/nora-bruton/
25 March 2019,,2019-0100,Christopher Gibbs,,Richard Middleton,Dorset,Road (Highways Safety) related deaths,Bournemouth Borough Council,,https://www.judiciary.uk/prevention-of-future-death-reports/christopher-gibbs/
25 February 2019,,2019-0102,Steven Key,,Robert Chapman,Cumbria,Railway related deaths; Suicide (from 2015),Network Rail,,https://www.judiciary.uk/prevention-of-future-death-reports/steven-key/
22 March 2019,,2019-0101,Brian Havard,,Yvonne Blake,Norfolk,Hospital Death (Clinical Procedures and medical management) related deaths,Norfolk and Norwich University Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/brian-havard/
27 March 2019,,2019-0103,Justin Brown,,Jacqueline Devonish,Suffolk,Hospital Death (Clinical Procedures and medical management) related deaths,NHS Suffolk,,https://www.judiciary.uk/prevention-of-future-death-reports/justin-brown/
20 March 2019,,2019-0104,Christopher Bevan,,Tim Holloway,Blackpool & Fylde,Other related deaths,,,https://www.judiciary.uk/prevention-of-future-death-reports/christopher-bevan/
28 March 2019,,2019-0105,Wayne Rodgers,,Caroline Sumeray,Isle of Wight,Other related deaths; Emergency services related deaths (2019 onwards),"Cowes Week Limited; Jubilee Stores; Emergency Preparedness, Resilience and Response",,https://www.judiciary.uk/prevention-of-future-death-reports/wayne-rodgers/
29 March 2019,,2019-0106,Colin Bailey,,Christopher Murray,Manchester (South),Hospital Death (Clinical Procedures and medical management) related deaths,N.I.C.E,,https://www.judiciary.uk/prevention-of-future-death-reports/colin-bailey/
29 March 2019,,2019-0107,Ann Corfield,,Anthony Mazzag,Manchester (City),Mental Health related deaths; Hospital Death (Clinical Procedures and medical management) related deaths,Pennine Acute Hospitals NHS Trust; Greater Manchester Mental Health NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/ann-corfield/
22 March 2019,,2019-0110,Bram Radcliffe,,Martin Fleming,West Yorjshire (West),Product related deaths,"Stone Federation of GB; Ministry of Housing, Communities and Local Government",,https://www.judiciary.uk/prevention-of-future-death-reports/bram-radcliffe/
7 March 2019,,2019-0112,Matthew Bilby,,Timothy Brennard,Lincolnshire,Road (Highways Safety) related deaths,Department for Transport; Lincolnshire County Council,,https://www.judiciary.uk/prevention-of-future-death-reports/matthew-bilby/
1 April 2019,,2019-0108,Andrew Clegg,,Nichola Rheinberg,Wilshire and Swindon,Other related deaths,CQC; Royal Institute of British Architects,,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-clegg/
11 March 2019,,2019-0086,Terence Bradfield,,Deborah Archer,Plymouth Torbay and South Devon,Hospital Death (Clinical Procedures and medical management) related deaths,University Hospitals Plymouth NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/terence-bradfield/
7 March 2019,,2019-0083,Kristopher McDowell,,John Gittins,North Wale (East and Central),Other related deaths; Wales prevention of future deaths reports (2019 onwards),The Canal and River Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/kristopher-mcdowell/
7 March 2019,,2019-0085,Chand Ali,,Alison Hewitt,London (City),Hospital Death (Clinical Procedures and medical management) related deaths,Barts Health NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/chand-ali/
8 March 2019,,2019-0084,John Richardson,,Penelope Schofield,West Sussex,Hospital Death (Clinical Procedures and medical management) related deaths,Sussex NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/john-richardson/
22 February 2019,,2019-0082,Gabriele Kreichgauer,,Philip Barlow,London Inner (South),Hospital Death (Clinical Procedures and medical management) related deaths,Barts Health NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/gabriele-kreichgauer/
26 February 2019,,2019-0080,Lyn Morgan,,Aled Gruffydd,Swansea Neath & Port Talbot,Road (Highways Safety) related deaths; Wales prevention of future deaths reports (2019 onwards),Welsh Government,,https://www.judiciary.uk/prevention-of-future-death-reports/lyn-morgan/
26 February 2019,,2019-0079,Danyon Chesters,,Alison Mutch,Manchester (South),"Mental Health related deaths; Railway related deaths; Alcohol, drug and medication related deaths",Department for Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/danyon-chesters/
1 March 2019,,2019-0078,Jack May,,Rachel Knight,South Wale Central,Community health care; Wales prevention of future deaths reports (2019 onwards),Cardiff University,,https://www.judiciary.uk/prevention-of-future-death-reports/jack-may/
26 February 2019,,2019-0081,Kathleen McGeary,,Stephanie Haskey,Nottinghamshire,Hospital Death (Clinical Procedures and medical management) related deaths,Doncaster and Bassetlaw Teaching Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/kathleen-mcgeary/
1 February 2019,,2019-0077,Stephen Harte,,Jame Bennett,Birmingham and Solihull,Hospital Death (Clinical Procedures and medical management) related deaths; Mental Health related deaths,Birmingham and Solihull CCG; CQC,,https://www.judiciary.uk/prevention-of-future-death-reports/stephen-harte/
27 February 2019,,2019-0076,Hoshi Naylor,,Oliver Longstaff,West Yorkshire (East),Child Death (from 2015); Road (Highways Safety) related deaths,Leeds City Council,,https://www.judiciary.uk/prevention-of-future-death-reports/hoshi-naylor/
27 February 2019,,2019-0075,Shane Gray,,Penelope Schofield,West Sussex,Other related deaths,Park Holiday UK Limited,,https://www.judiciary.uk/prevention-of-future-death-reports/shane-gray/
27 February 2019,,2019-0074,Kelvin Speakman,,Geraint Williams,Worcestershire,State Custody related deaths,HM Prison Service and HMP Hewell,,https://www.judiciary.uk/prevention-of-future-death-reports/kelvin-speakman/
26 February 2019,,2019-0072,Nathan Mooney,,Chri Morris,Manchester (South),Hospital Death (Clinical Procedures and medical management) related deaths,Department for Health and Social Care,,https://www.judiciary.uk/prevention-of-future-death-reports/nathan-mooney/
26 February 2019,,2019-0071,Geoffrey Jackson,,Chri Morris,Manchester (South),Hospital Death (Clinical Procedures and medical management) related deaths,Manchester University Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/geoffrey-jackson/
27 February 2019,,2019-0070,Theresa Feehan,,Fiona Wilcox,London Inner (West),Community health care,CQC; Lisson Grove Health Centre,,https://www.judiciary.uk/prevention-of-future-death-reports/theresa-feehan/
3 April 2019,,2019-0115,Aryan Akhgar,,Stephen Eccleston,South Yorkshire (West),Child Death (from 2015); Hospital Death (Clinical Procedures and medical management) related deaths,Sheffield Children’s Hospital; Sheffield CCG,,https://www.judiciary.uk/prevention-of-future-death-reports/aryan-akhgar/
5 April 2019,,2019-0120,Raymond Knight,,Caroline Beasley-Murray,Essex,Police related deaths,Essex Police,,https://www.judiciary.uk/prevention-of-future-death-reports/raymond-knight/
21 January 2019,,2019-0116,Alfred Howell,,John Hobson,West Yorkshire (East),Hospital Death (Clinical Procedures and medical management) related deaths,The Mid Yorkshire Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/alfred-howell/
1 April 2019,,2019-0117,Alexander Green,,Maria Voisin,Avon,Hospital Death (Clinical Procedures and medical management) related deaths,Royal United Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/alexander-green/
1 April 2019,,2019-0118,Marcie Tadman,,Maria Voisin,Avon,Hospital Death (Clinical Procedures and medical management) related deaths,"Royal United Hospital, Bath; Banes CCG",,https://www.judiciary.uk/prevention-of-future-death-reports/marcie-tadman/
4 April 2019,,2019-0119,Julia Peto,,Christopher Williams,London Inner (South),Road (Highways Safety) related deaths,Department for Transport,,https://www.judiciary.uk/prevention-of-future-death-reports/julia-peto/
5 April 2019,,2019-0121,Jennifer Handy,,Rachael Knight,South Wale Central,Child Death (from 2015); Hospital Death (Clinical Procedures and medical management) related deaths; Wales prevention of future deaths reports (2019 onwards),Cwm Taf Health Board; General Medical Council,,https://www.judiciary.uk/prevention-of-future-death-reports/jennifer-handy/
27 March 2019,,2019-0111,Donna Williamson,,Andrew Harris,London Inner (South),Hospital Death (Clinical Procedures and medical management) related deaths,London Borough of Lewisham; National Police Chiefs Council; Home Office; Department of Health and Social Care; Local Government Association,,https://www.judiciary.uk/prevention-of-future-death-reports/donna-williamson/
22 February 2019,,2019-0109,Doreen Fell,,Paul O’Donnell,Cumbria,Road (Highways Safety) related deaths,Highways England,,https://www.judiciary.uk/prevention-of-future-death-reports/doreen-fell/
3 April 2019,,2019-0113,Ronald Lowe,,Emma Brown,Birmingham and Solihull,Hospital Death (Clinical Procedures and medical management) related deaths,University Hospitals Birmingham NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/ronald-lowe/
3 April 2019,,2019-0114,Terence Thornton,,Andrew Cox,Plymouth Torbay and South Devon,Hospital Death (Clinical Procedures and medical management) related deaths,University Hospitals Plymouth NHS Trust; Derriford Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/terence-thornton/
19 February 2019,,2019-0057,Janice Keelan,,Nigel Meadows,Manchester (City),Mental Health related deaths,Manchester City Council; Manchester Mental Health NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/janice-keelan/
14 January 2019,,2019-0056,Dane Pearson,,Alison Mutch,Manchester (South),Mental Health related deaths; Suicide (from 2015),Greater Manchester Police; Home Office,,https://www.judiciary.uk/prevention-of-future-death-reports/dane-pearson/
15 February 2019,,2019-0055,Dwayne Thompson,,Alison Mutch,Manchester (South),Other related deaths,HSE,,https://www.judiciary.uk/prevention-of-future-death-reports/dwayne-thompson/
20 February 2019,,2019-0059,Malcolm Rathmell,,Jane Gillespie,Nottinghamshire,Hospital Death (Clinical Procedures and medical management) related deaths,Nottinghamshire University Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/malcolm-rathmell/
12 February 2019,,2019-0054,Bryan Gray,,Rosemary Baxter,East Riding and Hull,Other related deaths,The Crossing Project,,https://www.judiciary.uk/prevention-of-future-death-reports/bryan-gray/
14 February 2019,,2019-0053,John Mellor,,Nichola Flanagan,Manchester (North),Hospital Death (Clinical Procedures and medical management) related deaths,Oldham Care Commissioning Group; Northern Care Alliance NHS Group; St Chads Medical Practice; Pennine Care NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/john-mellor/
14 February 2019,,2019-0052,Douglas Minns,,Tom Osborne,Milton Keynes,Emergency services related deaths (2019 onwards),Milton Keynes CCG,,https://www.judiciary.uk/prevention-of-future-death-reports/douglas-minns/
14 February 2019,,2019-0051,John Scott,,Veronica Hamilton-Deeley,Brighton and Hove,Emergency services related deaths (2019 onwards); Hospital Death (Clinical Procedures and medical management) related deaths,South East Coast Ambulance Service; NHS Pathways,,https://www.judiciary.uk/prevention-of-future-death-reports/john-scott/
24 February 2019,,2019-0073,Polly Drew,,Elizabeth Didcock,Nottinghamshire,Suicide (from 2015),Central Medical Services,,https://www.judiciary.uk/prevention-of-future-death-reports/polly-drew/
25 February 2019,,2019-0064,Brenda Gowan,,Nadia Persaud,London (East),Hospital Death (Clinical Procedures and medical management) related deaths,Royal London Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/brenda-gowan/
22 February 2019,,2019-0065,Jeremy Sutch,,Nigel Parsley,Suffolk,Accident at Work and Health and Safety related deaths,International Maritime Organisation; Vantage Drilling Company,,https://www.judiciary.uk/prevention-of-future-death-reports/jeremy-sutch/
26 February 2019,,2019-0066,Christopher Moss,,Andrew Haigh,Staffordshire South,State Custody related deaths; Suicide (from 2015),MOJ,,https://www.judiciary.uk/prevention-of-future-death-reports/christopher-moss/
26 February 2019,,2019-0067,John Thorp,,Catherine Wood,London (West),Hospital Death (Clinical Procedures and medical management) related deaths,London North West University NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/john-thorp/
25 February 2019,,2019-0068,John Pearce,,Edwin Buckett,London Inner (North),Hospital Death (Clinical Procedures and medical management) related deaths,Central and North West London NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/john-pearce/
27 February 2019,,2019-0069,Peter Garvin,,Fiona Wilcox,London Inner (West),Mental Health related deaths; Suicide (from 2015),Central and North West London NHS Trust; NHS England,,https://www.judiciary.uk/prevention-of-future-death-reports/peter-garvin/
20 February 2019,,2019-0058,Kevin Miles,,Dianne Hockling,Leicester City and South Leicestershire,Other related deaths,Inspector of Diving; HSE,,https://www.judiciary.uk/prevention-of-future-death-reports/kevin-miles/
21 February 2019,,2019-0060,Robert Chandler,,Jacqueline Lake,Norfolk,Emergency services related deaths (2019 onwards),East of England Ambulance Service,,https://www.judiciary.uk/prevention-of-future-death-reports/robert-chandler/
21 February 2019,,2019-0061,Jason Gregory,,Grahame Short,Southampton and New Forest,"Alcohol, drug and medication related deaths",Southampton City Council; Hampshire Police,,https://www.judiciary.uk/prevention-of-future-death-reports/jason-gregory/
25 January 2019,,2019-0062,David Squire,,Emma Serrano,Black Country,Hospital Death (Clinical Procedures and medical management) related deaths; Mental Health related deaths,NHS England,,https://www.judiciary.uk/prevention-of-future-death-reports/david-squire/
21 February 2019,,2019-0063,Evie Wright,,Maria Voisin,Avon,Other related deaths,Persimmon Homes Severn Valley; North Somerset Council,,https://www.judiciary.uk/prevention-of-future-death-reports/evie-wright/
8 February 2019,,2019-0040,Jean Cutler,,Jame Bennett,Birmingham and Solihull,Care Home Health related deaths,Cole Valley Care Limited,,https://www.judiciary.uk/prevention-of-future-death-reports/jean-cutler/
7 February 2019,,2019-0039,Stephen Kennedy,,Louise Hunt,Birmingham an Solihull,Mental Health related deaths; Suicide (from 2015); Hospital Death (Clinical Procedures and medical management) related deaths,Birmingham and Solihull Mental Health NHS Trust; Department of Health; Birmingham Cross City CCG,,https://www.judiciary.uk/prevention-of-future-death-reports/stephen-kennedy/
31 January 2019,,2019-0038,Andrew Carr,,Louise Hunt,Birmingham and Solihull,"Alcohol, drug and medication related deaths; State Custody related deaths",G4s; HM Prisons and Probation; MOJ,,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-carr/
25 January 2019,,2019-0037,Stephen Pettitt,,Karen Dilks,Newcastle upon Tyne,Hospital Death (Clinical Procedures and medical management) related deaths,Royal College of Surgeons of England,,https://www.judiciary.uk/prevention-of-future-death-reports/stephen-pettitt/
28 January 2019,,2019-0036,Simon Barber,,Tanyka Rawden,Nottinghamshire,Community health care related deaths,First Class Care,,https://www.judiciary.uk/prevention-of-future-death-reports/simon-barber/
29 January 2019,,2019-0035,Sophie Holman,,Shirley Radcliffe,London (East),Hospital Death (Clinical Procedures and medical management) related deaths; Child Death (from 2015),Department for Health and Social Care; NHS England,,https://www.judiciary.uk/prevention-of-future-death-reports/sophie-holman/
28 January 2019,,2019-0034,Terence Penney,,Paul Smith,Lincolnshire,Product related deaths,LEC Refrigeration; Office for Product Safety and Standards,,https://www.judiciary.uk/prevention-of-future-death-reports/terence-penney/
6 March 2019,,2019-0037A,Michael Henderson,,Kirsty Gomersal,Cumbria,"Road (Highways Safety) related deaths; Alcohol, drug and medication related deaths",Cumbria County Council (Highways Department),,https://www.judiciary.uk/prevention-of-future-death-reports/michael-henderson/
28 January 2019,,2019-0033,Jack Hubbard,,ME Hassell,London Inner (North),"Alcohol, drug and medication related deaths",Egg London Nightclub,,https://www.judiciary.uk/prevention-of-future-death-reports/jack-hubbard/
28 January 2019,,2019-0032,Conor Crutchley,,Christopher Morris,Manchester (South),Hospital Death (Clinical Procedures and medical management) related deaths,Pennine Care NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/conor-crutchley/
24 January 2019,,2019-0031,Olive Johnson,,Paul Cooper,Lincolnshire,Emergency services related deaths (2019 onwards),East Midlands Ambulance Service,,https://www.judiciary.uk/prevention-of-future-death-reports/olive-johnson/
14 February 2019,,2019-0050,Matthew Hamilton,,Jeremy Chipperfield,County Durham and Darlington,"Alcohol, drug and medication related deaths; State Custody related deaths",HMP Durham,,https://www.judiciary.uk/prevention-of-future-death-reports/matthew-hamilton/
14 February 2019,,2019-0049,Kenneth Whittington,,Veronica Hamilton-Deeley,Brighton and Hove,Hospital Death (Clinical Procedures and medical management) related deaths,Brighton and Sussex University Hospitals NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/kenneth-whittington/
13 February 2019,,2019-0048,Matthew Lewis,,Graeme Hughes,South Wale Central,Emergency services related deaths (2019 onwards); Suicide (from 2015); Wales prevention of future deaths reports (2019 onwards),South Wales Police; College of Policing,,https://www.judiciary.uk/prevention-of-future-death-reports/matthew-lewis/
13 February 2019,,2019-0047,Branko Zdravkovic,,Stephen Nicholls,Dorset,State Custody related deaths,Home Office,,https://www.judiciary.uk/prevention-of-future-death-reports/branko-zdravkovic/
12 February 2019,,2019-0046,Heather Carey,,Andrew Bridgman,Manchester (South),Hospital Death (Clinical Procedures and medical management) related deaths; Mental Health related deaths; Suicide (from 2015),Department for Health and Social Care; NHS Tameside and Glossop CCG,,https://www.judiciary.uk/prevention-of-future-death-reports/heather-carey/
11 February 2019,,2019-0045,Paul Gillam,,Guy Davies,Cornwall & the Isle of Scilly,"Alcohol, drug and medication related deaths; Hospital Death (Clinical Procedures and medical management) related deaths; Mental Health related deaths","NHS Kernow; Cornwall NHS Trust; Drug, Alcohol Action Team Cornwall Council",,https://www.judiciary.uk/prevention-of-future-death-reports/paul-gillam/
12 February 2019,,2019-0044,Anthony Watson,,Jame Bennett,Birmingham and Solihull,Hospital Death (Clinical Procedures and medical management) related deaths; Suicide (from 2015),NHS England; Birmingham and Solihull CCG;,,https://www.judiciary.uk/prevention-of-future-death-reports/anthony-watson/
11 February 2019,,2019-0043,Calary Davis,,David Regan,South Wale Central,Child Death (from 2015); Hospital Death (Clinical Procedures and medical management) related deaths; Wales prevention of future deaths reports (2019 onwards),Cwm taf University Health Board,,https://www.judiciary.uk/prevention-of-future-death-reports/calary-davis/
11 February 2019,,2019-0042,Robert Hughes,,Katy Skerrett,Gloucestershire,Hospital Death (Clinical Procedures and medical management) related deaths; Mental Health related deaths; Suicide (from 2015),2gether NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/robert-hughes/
4 January 2019,,2019-0014,Nicky Reilly,,Joanne Kearsley,Manchester (North),Mental Health related deaths; State Custody related deaths,HM Prisons and Probation Service; Greater Manchester Mental Health & Social Care Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/nicky-reilly/
10 January 2019,,2019-0013,Christopher Seal,,Maria Voisin,Avon,Community health care related deaths; Mental Health related deaths,Avon and Wilshire Mental Health NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/christopher-seal/
11 January 2019,,2019-0012,Ricardo Holgate,,Louise Hunt,Birmingham and Solihull,State Custody related deaths,G4S; HM Prisons and Probation Service; MOJ,,https://www.judiciary.uk/prevention-of-future-death-reports/ricardo-holgate/
10 January 2019,,2019-0011,Natasha Chin,,Caroline Topping,Surrey,State Custody related deaths,CQC; Police and Prisons Ombudsman; Chief Inspector of Prisons; MOJ,,https://www.judiciary.uk/prevention-of-future-death-reports/natasha-chin/
10 January 2019,,2019-0010,Richard Lockley,,Andrew Haigh,Staffordshire (South),Hospital Death (Clinical Procedures and medical management) related deaths,University of North Midlands Hospital NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/richard-lockley/
10 January 2019,,2019-0008,Michael Flynn,,Alison Mutch,Manchester (South),Hospital Death (Clinical Procedures and medical management) related deaths,Tameside General Hospital,,https://www.judiciary.uk/prevention-of-future-death-reports/michael-flynn/
10 January 2019,,2019-0007,Malcolm Shaw,,Christopher Morris,Manchester (South),Hospital Death (Clinical Procedures and medical management) related deaths,Stockport NHS Trust,,https://www.judiciary.uk/prevention-of-future-death-reports/malcolm-shaw/
